date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,last day in month flag,same day year ago,,table insert statement
20080101,01/01/08,2,1,1,Tuesday,Tue,y,1,1,31/12/07,20071231,1,1,January,Jan,1,2008,200801,7,3,2008,n,01/01/07,,"insert into Date_Dimension values(20080101, '2008-1-1',2, 1, 1, 'Tuesday', 'Tue', 'y', 1, 1, '2007-12-31', 20071231, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-1')"
20080102,02/01/08,3,2,2,Wednesday,Wed,y,1,1,31/12/07,20071231,1,1,January,Jan,1,2008,200801,7,3,2008,n,02/01/07,,"insert into Date_Dimension values(20080102, '2008-1-2',3, 2, 2, 'Wednesday', 'Wed', 'y', 1, 1, '2007-12-31', 20071231, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-2')"
20080103,03/01/08,4,3,3,Thursday,Thu,y,1,1,31/12/07,20071231,1,1,January,Jan,1,2008,200801,7,3,2008,n,03/01/07,,"insert into Date_Dimension values(20080103, '2008-1-3',4, 3, 3, 'Thursday', 'Thu', 'y', 1, 1, '2007-12-31', 20071231, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-3')"
20080104,04/01/08,5,4,4,Friday,Fri,y,1,1,31/12/07,20071231,1,1,January,Jan,1,2008,200801,7,3,2008,n,04/01/07,,"insert into Date_Dimension values(20080104, '2008-1-4',5, 4, 4, 'Friday', 'Fri', 'y', 1, 1, '2007-12-31', 20071231, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-4')"
20080105,05/01/08,6,5,5,Saturday,Sat,n,1,1,31/12/07,20071231,1,1,January,Jan,1,2008,200801,7,3,2008,n,05/01/07,,"insert into Date_Dimension values(20080105, '2008-1-5',6, 5, 5, 'Saturday', 'Sat', 'n', 1, 1, '2007-12-31', 20071231, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-5')"
20080106,06/01/08,7,6,6,Sunday,Sun,n,1,1,31/12/07,20071231,1,1,January,Jan,1,2008,200801,7,3,2008,n,06/01/07,,"insert into Date_Dimension values(20080106, '2008-1-6',7, 6, 6, 'Sunday', 'Sun', 'n', 1, 1, '2007-12-31', 20071231, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-6')"
20080107,07/01/08,1,7,7,Monday,Mon,y,2,2,07/01/08,20080107,1,1,January,Jan,1,2008,200801,7,3,2008,n,07/01/07,,"insert into Date_Dimension values(20080107, '2008-1-7',1, 7, 7, 'Monday', 'Mon', 'y', 2, 2, '2008-1-7', 20080107, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-7')"
20080108,08/01/08,2,8,8,Tuesday,Tue,y,2,2,07/01/08,20080107,1,1,January,Jan,1,2008,200801,7,3,2008,n,08/01/07,,"insert into Date_Dimension values(20080108, '2008-1-8',2, 8, 8, 'Tuesday', 'Tue', 'y', 2, 2, '2008-1-7', 20080107, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-8')"
20080109,09/01/08,3,9,9,Wednesday,Wed,y,2,2,07/01/08,20080107,1,1,January,Jan,1,2008,200801,7,3,2008,n,09/01/07,,"insert into Date_Dimension values(20080109, '2008-1-9',3, 9, 9, 'Wednesday', 'Wed', 'y', 2, 2, '2008-1-7', 20080107, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-9')"
20080110,10/01/08,4,10,10,Thursday,Thu,y,2,2,07/01/08,20080107,1,1,January,Jan,1,2008,200801,7,3,2008,n,10/01/07,,"insert into Date_Dimension values(20080110, '2008-1-10',4, 10, 10, 'Thursday', 'Thu', 'y', 2, 2, '2008-1-7', 20080107, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-10')"
20080111,11/01/08,5,11,11,Friday,Fri,y,2,2,07/01/08,20080107,1,1,January,Jan,1,2008,200801,7,3,2008,n,11/01/07,,"insert into Date_Dimension values(20080111, '2008-1-11',5, 11, 11, 'Friday', 'Fri', 'y', 2, 2, '2008-1-7', 20080107, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-11')"
20080112,12/01/08,6,12,12,Saturday,Sat,n,2,2,07/01/08,20080107,1,1,January,Jan,1,2008,200801,7,3,2008,n,12/01/07,,"insert into Date_Dimension values(20080112, '2008-1-12',6, 12, 12, 'Saturday', 'Sat', 'n', 2, 2, '2008-1-7', 20080107, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-12')"
20080113,13/01/08,7,13,13,Sunday,Sun,n,2,2,07/01/08,20080107,1,1,January,Jan,1,2008,200801,7,3,2008,n,13/01/07,,"insert into Date_Dimension values(20080113, '2008-1-13',7, 13, 13, 'Sunday', 'Sun', 'n', 2, 2, '2008-1-7', 20080107, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-13')"
20080114,14/01/08,1,14,14,Monday,Mon,y,3,3,14/01/08,20080114,1,1,January,Jan,1,2008,200801,7,3,2008,n,14/01/07,,"insert into Date_Dimension values(20080114, '2008-1-14',1, 14, 14, 'Monday', 'Mon', 'y', 3, 3, '2008-1-14', 20080114, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-14')"
20080115,15/01/08,2,15,15,Tuesday,Tue,y,3,3,14/01/08,20080114,1,1,January,Jan,1,2008,200801,7,3,2008,n,15/01/07,,"insert into Date_Dimension values(20080115, '2008-1-15',2, 15, 15, 'Tuesday', 'Tue', 'y', 3, 3, '2008-1-14', 20080114, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-15')"
20080116,16/01/08,3,16,16,Wednesday,Wed,y,3,3,14/01/08,20080114,1,1,January,Jan,1,2008,200801,7,3,2008,n,16/01/07,,"insert into Date_Dimension values(20080116, '2008-1-16',3, 16, 16, 'Wednesday', 'Wed', 'y', 3, 3, '2008-1-14', 20080114, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-16')"
20080117,17/01/08,4,17,17,Thursday,Thu,y,3,3,14/01/08,20080114,1,1,January,Jan,1,2008,200801,7,3,2008,n,17/01/07,,"insert into Date_Dimension values(20080117, '2008-1-17',4, 17, 17, 'Thursday', 'Thu', 'y', 3, 3, '2008-1-14', 20080114, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-17')"
20080118,18/01/08,5,18,18,Friday,Fri,y,3,3,14/01/08,20080114,1,1,January,Jan,1,2008,200801,7,3,2008,n,18/01/07,,"insert into Date_Dimension values(20080118, '2008-1-18',5, 18, 18, 'Friday', 'Fri', 'y', 3, 3, '2008-1-14', 20080114, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-18')"
20080119,19/01/08,6,19,19,Saturday,Sat,n,3,3,14/01/08,20080114,1,1,January,Jan,1,2008,200801,7,3,2008,n,19/01/07,,"insert into Date_Dimension values(20080119, '2008-1-19',6, 19, 19, 'Saturday', 'Sat', 'n', 3, 3, '2008-1-14', 20080114, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-19')"
20080120,20/01/08,7,20,20,Sunday,Sun,n,3,3,14/01/08,20080114,1,1,January,Jan,1,2008,200801,7,3,2008,n,20/01/07,,"insert into Date_Dimension values(20080120, '2008-1-20',7, 20, 20, 'Sunday', 'Sun', 'n', 3, 3, '2008-1-14', 20080114, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-20')"
20080121,21/01/08,1,21,21,Monday,Mon,y,4,4,21/01/08,20080121,1,1,January,Jan,1,2008,200801,7,3,2008,n,21/01/07,,"insert into Date_Dimension values(20080121, '2008-1-21',1, 21, 21, 'Monday', 'Mon', 'y', 4, 4, '2008-1-21', 20080121, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-21')"
20080122,22/01/08,2,22,22,Tuesday,Tue,y,4,4,21/01/08,20080121,1,1,January,Jan,1,2008,200801,7,3,2008,n,22/01/07,,"insert into Date_Dimension values(20080122, '2008-1-22',2, 22, 22, 'Tuesday', 'Tue', 'y', 4, 4, '2008-1-21', 20080121, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-22')"
20080123,23/01/08,3,23,23,Wednesday,Wed,y,4,4,21/01/08,20080121,1,1,January,Jan,1,2008,200801,7,3,2008,n,23/01/07,,"insert into Date_Dimension values(20080123, '2008-1-23',3, 23, 23, 'Wednesday', 'Wed', 'y', 4, 4, '2008-1-21', 20080121, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-23')"
20080124,24/01/08,4,24,24,Thursday,Thu,y,4,4,21/01/08,20080121,1,1,January,Jan,1,2008,200801,7,3,2008,n,24/01/07,,"insert into Date_Dimension values(20080124, '2008-1-24',4, 24, 24, 'Thursday', 'Thu', 'y', 4, 4, '2008-1-21', 20080121, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-24')"
20080125,25/01/08,5,25,25,Friday,Fri,y,4,4,21/01/08,20080121,1,1,January,Jan,1,2008,200801,7,3,2008,n,25/01/07,,"insert into Date_Dimension values(20080125, '2008-1-25',5, 25, 25, 'Friday', 'Fri', 'y', 4, 4, '2008-1-21', 20080121, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-25')"
20080126,26/01/08,6,26,26,Saturday,Sat,n,4,4,21/01/08,20080121,1,1,January,Jan,1,2008,200801,7,3,2008,n,26/01/07,,"insert into Date_Dimension values(20080126, '2008-1-26',6, 26, 26, 'Saturday', 'Sat', 'n', 4, 4, '2008-1-21', 20080121, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-26')"
20080127,27/01/08,7,27,27,Sunday,Sun,n,4,4,21/01/08,20080121,1,1,January,Jan,1,2008,200801,7,3,2008,n,27/01/07,,"insert into Date_Dimension values(20080127, '2008-1-27',7, 27, 27, 'Sunday', 'Sun', 'n', 4, 4, '2008-1-21', 20080121, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-27')"
20080128,28/01/08,1,28,28,Monday,Mon,y,5,5,28/01/08,20080128,1,1,January,Jan,1,2008,200801,7,3,2008,n,28/01/07,,"insert into Date_Dimension values(20080128, '2008-1-28',1, 28, 28, 'Monday', 'Mon', 'y', 5, 5, '2008-1-28', 20080128, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-28')"
20080129,29/01/08,2,29,29,Tuesday,Tue,y,5,5,28/01/08,20080128,1,1,January,Jan,1,2008,200801,7,3,2008,n,29/01/07,,"insert into Date_Dimension values(20080129, '2008-1-29',2, 29, 29, 'Tuesday', 'Tue', 'y', 5, 5, '2008-1-28', 20080128, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-29')"
20080130,30/01/08,3,30,30,Wednesday,Wed,y,5,5,28/01/08,20080128,1,1,January,Jan,1,2008,200801,7,3,2008,n,30/01/07,,"insert into Date_Dimension values(20080130, '2008-1-30',3, 30, 30, 'Wednesday', 'Wed', 'y', 5, 5, '2008-1-28', 20080128, 1, 1, 'January', 'Jan', 1, 2008, 200801, 7, 3, 2008, 'n', '2007-1-30')"
